Name,Date from,Date to,Political party,Prime minister
Yashwant Sinha,19-03-1998,01-07-2002,Bharatiya Janata Party,Atal Bihari Vajpayee
Jaswant Singh,01-07-2002,22-05-2004,Bharatiya Janata Party,Atal Bihari Vajpayee
P. Chidambaram,22-05-2004,30-11-2008,Indian National Congress,Manmohan Singh
Manmohan Singh,30-11-2008,24-01-2009,Indian National Congress,Manmohan Singh
Pranab Mukherjee,24-01-2009,26-06-2012,Indian National Congress,Manmohan Singh
Manmohan Singh,26-06-2012,31-07-2012,Indian National Congress,Manmohan Singh
P. Chidambaram,31-07-2012,26-05-2014,Indian National Congress,Manmohan Singh
Arun Jaitley,26-05-2014,14-05-2018,Bharatiya Janata Party,Narendra Modi
Piyush Goyal,14-05-2018,22-08-2018,Bharatiya Janata Party,Narendra Modi
Arun Jaitley,23-08-2018,23-01-2019,Bharatiya Janata Party,Narendra Modi
Piyush Goyal,23-01-2019,15-02-2019,Bharatiya Janata Party,Narendra Modi
Arun Jaitley,16-02-2019,30-05-2019,Bharatiya Janata Party,Narendra Modi
Nirmala Sitharaman,30-05-2019,30-04-2021,Bharatiya Janata Party,Narendra Modi
